date,stock_id,price
2023-06-12,3,1271.1
2023-06-09,3,1264.2
2023-06-08,3,1281.1
2023-06-07,3,1282.45
2023-06-06,3,1273.15
2023-06-05,3,1297.2
2023-06-02,3,1296.1
2023-06-01,3,1317.6
2023-05-31,3,1314
2023-05-30,3,1309.25
2023-05-29,3,1317.3
2023-05-26,3,1307
2023-05-25,3,1289.2
2023-05-24,3,1291.05
2023-05-23,3,1293.3
2023-05-22,3,1270.6
2023-05-19,3,1252.2
2023-05-18,3,1247.45
2023-05-17,3,1242.35
2023-05-16,3,1262.5
2023-05-15,3,1245.55
2023-05-12,3,1239
2023-05-11,3,1253.35
2023-05-10,3,1259.8
2023-05-09,3,1260.4
2023-05-08,3,1255.05
2023-05-05,3,1254.05
2023-05-04,3,1262.35
2023-05-03,3,1262.2
2023-05-02,3,1254.95
2023-04-28,3,1245.1
2023-04-27,3,1225.3
2023-04-26,3,1220.75
2023-04-25,3,1215.45
2023-04-24,3,1218.05
2023-04-21,3,1220
2023-04-20,3,1221.85
2023-04-19,3,1230
2023-04-18,3,1252.85
2023-04-17,3,1219
2023-04-13,3,1383.6
2023-04-12,3,1400
2023-04-11,3,1389
2023-04-10,3,1414.2
2023-04-06,3,1410.5
2023-04-05,3,1396
2023-04-03,3,1405.35
2023-03-31,3,1394
2023-03-29,3,1365
2023-03-28,3,1376
2023-03-27,3,1374.05
2023-03-24,3,1378
2023-03-23,3,1370.4
2023-03-22,3,1382.2
2023-03-21,3,1390.05
2023-03-20,3,1385.7
2023-03-17,3,1411.6
2023-03-16,3,1399.2
2023-03-15,3,1416.9
2023-03-14,3,1411.2
2023-03-13,3,1428
2023-03-10,3,1457.1
2023-03-09,3,1475
2023-03-08,3,1481.45
2023-03-06,3,1489.9
2023-03-03,3,1473.6
2023-03-02,3,1467.9
2023-03-01,3,1481.75
2023-02-28,3,1481.3
2023-02-27,3,1502.05
2023-02-24,3,1546.7
2023-02-23,3,1548
2023-02-22,3,1556.05
2023-02-21,3,1575.9
2023-02-20,3,1582.6
2023-02-17,3,1575.3
2023-02-16,3,1598.25
2023-02-15,3,1576.35
2023-02-14,3,1578.75
